name,firstyear,lastyear,games,attempts,completions,compperc,avercomp,yards,interceptions,interatt,touchdowns,tdsatt,longestPass,rating
Aaron Rodgers,2005,,181,6061,3913,64.6,12.0,46946,84,1.39,364,6.01,93,102.4
Russell Wilson,2012,,128,3777,2436,64.5,12.2,29734,68,1.80,227,6.01,80,101.2
Drew Brees,2001,,275,10161,6867,67.6,11.3,77416,237,2.33,547,5.38,98,98.4
Tony Romo,2004,2017,150,4335,2829,65.3,12.1,34183,117,2.70,248,5.72,85,97.1
Tom Brady,2000,,285,9988,6377,63.8,11.7,74571,179,1.79,541,5.42,99,97.0
Dak Prescott,2016,,64,2071,1363,65.8,11.6,15778,36,1.74,97,4.68,90,97.0
Kirk Cousins,2012,,93,3146,2104,66.9,11.5,24107,71,2.26,155,4.93,81,96.8
Steve Young,1985,1999,169,4149,2667,64.3,12.4,33124,107,2.58,232,5.59,97,96.8
Peyton Manning,1998,2015,266,9380,6125,65.3,11.7,71940,251,2.68,539,5.75,86,96.5
Philip Rivers,2004,,228,7591,4908,64.7,12.1,59271,198,2.61,397,5.23,84,95.1
Matt Ryan,2008,,189,6817,4460,65.4,11.5,51186,147,2.16,321,4.71,93,94.6
Ben Roethlisberger,2004,,218,7230,4651,64.3,12.2,56545,191,2.64,363,5.02,97,94.0
Kurt Warner,1998,2009,125,4070,2666,65.5,12.1,32344,128,3.14,208,5.11,85,93.7
Carson Wentz,2016,,56,2055,1311,63.8,10.8,14191,35,1.70,97,4.72,73,92.7
Joe Montana,1979,1994,192,5391,3409,63.2,11.9,40551,139,2.58,273,5.06,96,92.3
Jared Goff,2016,,54,1869,1166,62.4,12.2,14219,42,2.25,87,4.65,94,91.9
Derek Carr,2014,,94,3313,2120,64.0,10.8,22793,62,1.87,143,4.32,87,90.7
Chad Pennington,2000,2010,90,2471,1632,66.0,10.9,17823,64,2.59,102,4.13,80,90.1
Ryan Tannehill,2012,,100,3197,2030,63.5,11.4,23176,81,2.53,145,4.54,91,89.8
Marcus Mariota,2015,,63,1765,1110,62.9,11.9,13207,44,2.49,76,4.31,75,89.6
Andrew Luck,2012,2018,86,3290,2000,60.8,11.8,23671,83,2.52,171,5.20,87,89.5
Matt Schaub,2004,,154,3348,2148,64.2,11.9,25467,91,2.72,136,4.06,80,89.5
Matthew Stafford,2009,,149,5696,3559,62.5,11.5,41025,134,2.35,256,4.49,87,89.3
Colin Kaepernick,2011,2016,69,1692,1011,59.8,12.1,12271,30,1.77,72,4.26,80,88.9
Nick Foles,2012,,58,1698,1051,61.9,11.3,11901,35,2.06,71,4.18,83,88.2
Carson Palmer,2004,2017,182,6307,3941,62.5,11.7,46247,187,2.96,294,4.66,91,87.9
Daunte Culpepper,1999,2009,106,3199,2016,63.0,12.0,24153,106,3.31,149,4.66,82,87.8
Andy Dalton,2011,,133,4449,2757,62.0,11.5,31594,118,2.65,204,4.59,86,87.5
Jeff Garcia,1999,2011,125,3676,2264,61.6,11.3,25537,83,2.26,161,4.38,99,87.5
Alex Smith,2005,,166,4941,3082,62.4,11.1,34068,101,2.04,193,3.91,80,87.3
Jameis Winston,2015,,72,2548,1563,61.3,12.6,19737,88,3.45,121,4.75,71,86.9
Dan Marino,1983,1999,242,8358,4967,59.4,12.4,61361,252,3.02,420,5.03,85,86.4
Cam Newton,2011,,125,3980,2371,59.6,12.2,29041,108,2.71,182,4.57,91,86.1
Brett Favre,1991,2010,302,10169,6300,62.0,11.4,71838,336,3.30,508,5.00,99,86.0
Trent Green,1993,2008,120,3740,2266,60.6,12.6,28475,114,3.05,162,4.33,99,86.0
David Garrard,2002,2013,86,2281,1406,61.6,11.4,16003,54,2.37,89,3.90,75,85.8
Donovan McNabb,1999,2011,167,5374,3170,59.0,11.8,37276,117,2.18,234,4.35,91,85.6
Jay Cutler,2006,2017,153,4920,3048,62.0,11.5,35133,160,3.25,227,4.61,93,85.3
Case Keenum,2012,,67,2091,1304,62.4,11.0,14368,47,2.25,75,3.59,69,85.3
Rich Gannon,1987,2004,157,4206,2533,60.2,11.3,28743,104,2.47,180,4.28,84,84.7
Sam Bradford,2010,2018,83,2967,1855,62.5,10.5,19449,61,2.06,103,3.47,80,84.5
Marc Bulger,2002,2010,96,3171,1969,62.1,11.6,22814,93,2.93,122,3.85,80,84.4
Jim Kelly,1986,1996,160,4779,2874,60.1,12.3,35467,175,3.66,237,4.96,84,84.4
Joe Flacco,2008,,171,5932,3670,61.9,10.9,40067,141,2.38,218,3.67,95,84.1
Eli Manning,2004,2019,236,8119,4895,60.3,11.6,57023,244,3.01,366,4.51,99,84.1
Mark Brunell,1993,2011,191,4640,2761,59.5,11.6,32072,108,2.33,184,3.97,79,84.0
Roger Staubach,1969,1979,131,2958,1685,57.0,13.5,22700,109,3.68,153,5.17,91,83.4
Steve McNair,1995,2007,161,4544,2733,60.1,11.5,31304,119,2.62,174,3.83,87,82.8
Brian Griese,1998,2008,93,2796,1752,62.7,11.1,19440,99,3.54,119,4.26,88,82.7
Neil Lomax,1981,1988,108,3153,1817,57.6,12.5,22771,90,2.85,136,4.31,93,82.7