State,fipsCode,CensusRegion,CensusDivision,Population,PopChange2010_18,PerPopChange2010_18,InternMigration,InternMigRate,DomMigration,DomMigRate,Pop18andOlder,PopDensity,PerAge0_18,PerAge19_25,PerAge26_34,PerAge35_54,PerAge55_64,PerAge65Plus,MedianAge,PerWhite,PerBlack,PerLatinx,PerAmIndAlaskan,PerAsian,AssocDegree,BachDegree,MastersDegree,DoctoralDegree,ProfessionalDegree,IllicitDrugsPastMonth,PainPillPastYear,BingeAlcPastMonth,TobaccoPastMonth,IllicitDisorderPastYear,AlcDisorderPastYear,MentalIllnessPastYear,OpioidODDeathRate,SuicideIdeaPastYear,SuicideRate,SuicRateAgeAdj,ViolentCrimeRate,MurderMSRate,RapeRate,RobberyRate,AssaultRate,PropCrimeRate,BurglaryRate,LarcenyRate,MotorVehicleTheftRate,CommunitySupervision,Prisoners,DeathRow,CommSupervisionRate,PrisonRate,DeathRowRate,GunsPerCapita,Guns,PerPoverty,PerChildPoverty,PerCapIncome,MedHHIncome,UnemployRate,GrossStateProduct,StateTaxesPerCapita,CostLiving,TotalVotedPercent,WhiteVotedPercent,AAVotedPercent,LatinxVotedPercent,InfantMortalityRate,LifeExpectancy,HealthExpPerCapita,PercentUninsured,LifeSatis,Conservative,Religious
Mississippi,28,South,EastSouthCentral,2986530,18412,0.620,2749,0.92,-10818,-3.62,2277566,63.7,26,9,11,25,13,16,37.2,57,38,3,0.2,1,9.1,13.5,5.8,1.1,1.4,9.27,4.25,20.62,31.32,2.73,4.42,19.04,6.4,4.01,14.08,15,278.5,8.6,35.3,81.2,153.4,2921.2,813.3,1956.9,150.9,37700,28700,43,1655.28,1260.12,1.50,11.89,35494,19.77,28,23434,43567,4.8,109375,2642,86.1,73.4,51.7,59.8,NA,8.67,74.7,7646,14.4,52.57619,26.20646,31.86059
Missouri,29,Midwest,WestNorthCentral,6126452,137500,2.296,8077,1.32,-2790,-0.46,4766843,87.9,24,9,12,25,14,17,38.4,80,11,4,0.3,2,7.9,17.7,7.9,1.2,1.7,10.36,4.31,25.23,27.07,2.54,5.33,20.05,16.5,4.04,19.52,18.5,442.9,6.6,39.2,92.2,304.8,2906.5,581.5,2055.3,269.8,61600,44300,24,1292.26,929.34,0.54,11.94,72996,13.42,18,29537,53560,3.2,303763,2126,87.1,72.3,56.7,47.2,43.3,6.59,77.2,8107,11.2,50.60272,21.90960,27.97834
Montana,30,West,Mountain,1062305,72896,7.368,889,0.84,5987,5.63,840190,7,23,8,11,24,15,19,40.1,86,0.8,4,6,1,9.3,20.9,6.8,1.1,2.1,14.33,4.55,29.29,27.11,3.11,7.65,19.78,3.6,4.91,29.73,28.9,323.7,3.6,52.9,19.8,247.4,2472.9,351.2,1922.1,199.6,10200,5700,2,1214.01,678.42,0.35,21.06,22133,12.47,14,29765,52559,3.6,47079,2772,106.9,71.3,65.3,NA,NA,5.78,77.3,8221,10.0,52.25925,21.32094,25.21901
Nebraska,31,Midwest,WestNorthCentral,1929268,102963,5.638,4705,2.44,-3314,-1.71,1458334,24.3,26,9,12,25,13,16,36.3,79,4,11,1,2,10.4,21.1,7.2,1.3,1.8,9.04,3.76,29.00,26.34,2.54,5.80,17.88,3.1,4.05,15.27,14.7,280.4,2.9,45.8,55.4,176.2,2523.5,422.5,1864.1,236.8,14600,8800,12,1001.14,603.43,1.36,11.57,22234,10.77,14,31101,59116,2.8,119588,2795,90.8,66.3,54.7,NA,32.8,6.06,79.2,8412,9.7,51.81501,21.35721,28.37930
Nevada,32,West,Mountain,3034392,333713,12.357,3100,1.02,47596,15.69,2387517,25.4,24,8,13,27,13,16,37.9,49,9,29,1,8,7.8,15.3,5.7,0.8,1.6,13.42,4.97,23.62,24.12,3.48,5.66,18.87,13.3,4.62,18.98,20.3,635.6,6,47.8,209.7,372.1,2625.4,772.3,1494.3,358.7,19000,20200,74,795.81,846.07,3.66,25.64,76888,13.00,17,29961,57598,4.5,158302,3018,108.5,61.8,56.6,37.1,37.7,5.76,78,6714,13.0,49.07275,19.23699,24.98482
New Hampshire,33,Northeast,NewEngland,1356458,39994,3.038,2606,1.92,3928,2.90,1104458,147.8,20,8,11,26,16,18,42.7,90,1,4,0.1,3,10.3,22.5,10.7,1.4,2,14.28,4.22,28.58,22.47,3.15,6.13,19.15,34,4.89,19.86,18.9,196.1,0.9,44.8,40.5,110,1962.7,313.7,1584.4,64.6,6400,4500,0,579.47,407.44,0.00,46.76,64135,7.70,10,38548,74057,2.7,81650,2153,109.7,70.8,57,NA,NA,3.67,79.4,9589,6.9,51.93321,16.78039,22.89691
New Jersey,34,Northeast,MidAtlantic,8908520,116558,1.326,46660,5.24,-50591,-5.68,6943612,1210.1,23,8,11,27,14,16,39.5,55,13,21,0.3,10,6.5,23.7,10.9,1.5,2.5,8.45,3.57,24.21,20.78,2.28,4.71,16.19,22,3.41,9.53,8.3,261.2,3.9,14.3,117.5,125.6,1734.1,354.8,1248.3,131,155700,32000,0,2242.35,460.86,0.00,6.38,57507,10.00,14,40895,79363,4.2,602069,3970,125.1,68.6,57.9,52.3,51.2,4.03,80.4,8859,8.7,50.71140,18.49987,26.77207
New Mexico,35,West,Mountain,2095428,36248,1.760,2342,1.12,-5851,-2.79,1620991,17.2,24,9,12,24,13,18,37.7,37,2,49,9,2,8.4,15.5,8.3,1.8,1.6,13.51,4.15,24.41,25.08,3.17,6.01,17.73,16.7,4.01,24.31,23.3,597.4,4.8,70.7,100,421.8,3542.3,887.3,2353.4,301.6,15500,14700,0,956.21,906.85,0.00,46.73,97580,19.65,27,26085,48059,4.6,94211,2707,87.5,61.7,61.3,NA,40.5,6.16,77.7,7214,11.4,51.60048,20.08696,26.21233
New York,36,Northeast,MidAtlantic,19542209,164085,0.847,70375,3.60,-180306,-9.23,15425262,417,22,9,13,26,14,16,38.4,55,14,19,0.5,9,8.7,20.1,11.1,1.5,2.9,11.06,3.43,25.00,19.64,2.73,5.67,17.61,16.1,3.68,7.2,8.1,381.8,3.1,27.5,121.8,229.4,1718.2,257.2,1381.4,79.7,142400,74400,0,923.16,482.33,0.00,3.83,76207,14.08,19,37470,65323,4.1,1606601,4531,139.1,62.5,52.9,51.2,40.9,4.51,80.8,9778,6.3,50.20998,17.68257,25.17227
North Carolina,37,South,SouthAtlantic,10383620,847884,8.892,20035,1.93,66991,6.45,8187369,202.6,24,8,12,26,13,16,38.7,63,21,10,1,3,9.5,19.6,7.9,1.3,1.7,9.76,4.28,20.35,24.78,2.72,4.38,18.02,19.8,4.57,15.38,14.3,329.5,5.1,24.3,84.6,215.4,2873.1,798.2,1937.8,137.1,95200,54100,144,1162.77,660.77,2.66,14.818,152238,14.70,20,29456,52413,3.8,540497,2683,94.9,69.3,54.4,51.4,38.6,7.24,77.9,7264,12.7,51.12345,21.87226,28.98930
North Dakota,38,Midwest,WestNorthCentral,760077,87501,13.010,2597,3.42,-2379,-3.13,581891,10.5,24,11,14,23,13,15,35,84,3,4,5,2,13.6,21.7,5.8,0.9,1.2,7.68,4.06,31.21,26.66,2.52,6.55,18.30,4.8,4.57,20.51,20.1,265.1,3,48.4,23.4,190.3,2110.3,366.1,1539.5,204.7,7100,3100,0,1220.16,532.75,0.00,17.56,13272,10.32,9,35373,63473,2.7,52527,5533,98.8,73.4,64.3,NA,NA,6.41,78.6,9851,8.4,53.96171,22.69665,28.09400
Ohio,39,Midwest,EastNorthCentral,11689442,152685,1.323,20514,1.75,-12146,-1.04,9111081,283.2,23,9,12,25,14,17,39.3,79,12,4,0.8,2,8.6,17.2,7.6,1.1,1.6,10.15,4.67,24.85,28.75,2.97,5.60,19.85,39.2,4.56,15.99,14.8,284.9,4,43.5,110,127.4,2799.1,680,1963.6,155.4,256400,71000,140,2814.16,779.27,1.97,14.87,173405,13.97,19,30304,54533,4.6,645747,2492,90.8,70.2,53.9,48.6,32.6,7.43,76.6,8712,7.7,50.35569,21.73476,28.62508
Oklahoma,40,South,WestSouthCentral,3943079,191496,5.104,4272,1.08,-4474,-1.13,3004733,56.1,26,9,13,24,13,16,36.4,65,7,11,8,2,7.9,16.8,6.1,0.9,1.4,8.42,4.38,22.05,28.81,2.77,5.90,20.02,10.2,4.10,20.01,19.1,406,4.5,45.8,78.6,277,2990.7,760.9,1956.9,272.9,35500,39000,47,1181.47,1297.95,1.21,18.13,71269,15.83,21,27432,51424,3.5,188632,2425,87,65.1,53,35.9,33.7,7.47,75.5,7627,16.7,50.40881,23.99636,29.71646
Oregon,41,West,Pacific,4190713,359638,9.387,8177,1.95,26819,6.40,3351175,40.9,22,8,13,26,13,18,39.2,75,2,13,1,5,8.6,20,8.7,1.7,2.3,20.91,5.35,24.95,23.11,3.32,7.46,23.59,8.1,5.18,20.44,19,232.3,2,36.7,52.7,140.8,2879,434,2204.6,240.5,61400,20700,31,1832.19,617.69,1.50,14.816,61383,13.24,15,32045,59393,3.8,227155,3017,134.2,72.5,65.9,57.7,34.8,4.7,79.3,8044,8.4,51.79595,17.93600,23.25274
Pennsylvania,42,Northeast,MidAtlantic,12807060,104187,0.820,35377,2.76,-20463,-1.60,10167376,285.5,22,8,12,25,14,18,40.6,76,10,8,0.7,4,8.2,18.8,8.6,1.5,2,10.15,4.24,26.81,26.48,2.63,4.97,17.98,21.2,4.28,15.75,15,314.1,4.8,29.9,105.8,173.5,1931.7,357.5,1472.2,102,291600,82400,152,2868.00,810.44,1.85,18.45,236377,12.49,17,32889,59445,4.1,756269,3179,101.7,68.3,56.6,52.9,29.1,6.15,78,9258,6.7,51.23965,20.79853,27.56583
Rhode Island,44,Northeast,NewEngland,1057315,4358,0.414,2755,2.61,-2639,-2.50,854866,1017.1,20,9,13,26,15,17,40.2,72,6,16,0.1,3,8.2,20.6,9.6,1.6,2.3,17.45,4.59,29.07,22.31,3.46,6.74,19.59,26.9,4.78,12.91,11.8,219.2,2.4,34.2,50.1,132.5,2173.6,457.1,1542.8,173.7,23200,3100,0,2713.88,362.63,0.00,3.98,37152,11.62,18,34619,63296,3.9,59306,3294,119.4,68,54.5,NA,37.8,5.56,79.3,9551,4.8,50.19636,17.95144,26.72999
South Carolina,45,South,SouthAtlantic,5084127,458746,9.918,5490,1.08,50775,9.99,4037531,158.8,23,9,11,25,14,18,39.1,64,26,6,0.3,2,9.4,17.4,7.1,1.1,1.6,8.36,4.32,23.47,26.94,2.75,5.43,18.56,15.5,4.11,17.02,16.3,497.7,6.4,42.8,82.7,365.8,3460.3,759.9,2433.4,267,36700,32100,40,908.97,795.04,1.25,21.01,105601,15.40,22,27986,51015,3.3,221690,2075,95.9,64.5,48.6,52,17.6,7.01,76.2,7311,12.7,52.10763,23.70495,30.34560
South Dakota,46,MIdwest,WestNorthCentral,882235,68037,8.356,3659,4.14,638,0.72,667558,11.1,26,9,11,24,14,16,36.8,82,2,4,9,1,11.5,19.6,6.3,1.3,1.6,8.58,4.51,30.84,29.08,3.08,7.51,17.70,4,4.40,23.99,22.5,326.5,2.3,55.1,23.4,245.7,1863.9,330.3,1415.5,118,9300,5800,2,1393.14,868.84,0.35,24.29,21130,13.00,16,29801,59499,3,49813,2174,99.8,67.3,54.3,NA,NA,4.89,78.2,8933,11.6,55.62703,22.25163,28.61960
Tennessee,47,South,EastSouthCentral,6770010,423724,6.677,8994,1.33,39952,5.90,5319123,157.5,24,9,12,26,13,16,38.6,74,17,5,0.2,2,7.3,16.7,6.7,1.1,1.6,9.63,4.16,20.40,29.89,2.70,4.82,19.24,19.3,4.50,17.01,16.8,608.4,5.7,38.6,110.9,453.2,3060.6,712.2,2156,192.4,74700,48400,54,1404.37,909.92,1.12,14.76,99159,14.95,22,28511,50972,3.6,349569,2108,88.7,63.5,51.7,45,28.7,7.35,76.1,7372,12.0,51.41944,25.90575,31.28121
Texas,48,South,WestSouthCentral,28701845,3555731,14.140,104976,3.66,82569,2.88,21596071,101.2,27,9,13,26,11,13,34.5,41,12,40,0.5,5,7.1,18.9,7.2,1.1,1.7,7.64,4.02,23.35,22.55,2.28,4.58,16.32,5.1,3.72,14.27,13.4,405.9,4.4,42.3,115.7,243.6,3019.4,627.8,2137.3,254.3,482900,218500,219,2236.06,1011.76,1.00,20.79,588696,14.73,21,30143,59570,3.8,1645136,2102,91.5,63.3,57.7,47.6,34.3,5.72,78.6,6998,20.0,51.97617,22.29816,29.29635
Utah,49,West,Mountain,3161105,397214,14.372,8967,2.84,16052,5.08,2274774,35.3,31,11,13,24,10,11,30.7,78,1,14,1,2,10,21.4,7.9,1.5,1.9,8.05,4.66,16.22,15.24,2.95,4.89,23.47,15.5,5.99,25.32,22.7,215.6,2.3,49.4,44.6,119.4,2878.5,391.4,2239.1,248,15900,11700,8,698.97,514.34,0.68,23.48,72856,9.72,9,28239,68374,3.2,164917,2543,98.4,68.4,61.2,NA,43.6,5.43,79.3,5982,10.5,54.24447,22.49254,28.07126
Vermont,50,Northeast,NewEngland,626299,555,0.089,1850,2.95,-62,-0.01,509984,68,19,8,11,25,16,20,43.1,93,1,2,0.6,2,9.2,21.1,10.6,1.8,2.8,19.41,4.22,27.32,26.56,3.76,7.26,19.84,20,5.31,19.55,18.3,99.3,1.6,17.6,11.2,68.9,1524.4,324.6,1160.8,38.9,5800,1700,1,1137.29,333.34,0.59,9.41,5872,11.31,11,33238,60076,2.9,32545,5244,114.5,69,55.3,NA,NA,3.47,80,10190,4.9,52.42050,14.15810,20.46750
Virginia,51,South,SouthAtlantic,8517685,516630,6.457,31641,3.71,-9831,-1.15,6674671,209.2,24,9,12,26,13,16,38.2,62,19,10,0.4,7,7.7,21.7,12.2,1.7,2.5,8.22,3.85,23.47,21.29,2.74,5.49,18.78,14.8,4.20,14.2,13.4,196.2,4.1,27.7,51.5,112.9,1930.3,277.7,1560.5,92.1,62500,57500,3,936.38,861.47,0.05,36.34,307822,10.64,13,37763,71564,2.9,510586,2758,100.7,72,60.8,55.8,34.6,5.85,79.2,7556,10.2,52.61999,20.45758,27.89341
Washington,53,West,Pacific,7535591,811051,12.061,30557,4.06,46549,6.18,5951832,104.9,23,8,14,26,13,16,37.7,68,4,13,1,9,9.8,22,9.5,1.5,2.2,16.87,4.94,22.71,20.53,3.50,6.09,22.81,9.6,5.06,17.61,16.9,285.2,2.5,38.2,79.9,164.7,3706.1,783,2489.1,434,100600,30400,0,1690.24,510.77,0.00,12.4,91835,11.03,13,36888,70116,4.4,524323,3527,110.7,73.7,65.5,45.7,43.7,4.32,80,7913,7.5,51.65373,17.55998,24.09926
West Virginia,54,South,SouthAtlantic,1805832,-47169,-2.546,386,0.21,-7029,-3.89,1432580,77.1,21,8,11,25,15,20,42.3,92,4,1,0.5,1,7.4,12.6,6.1,0.9,1.3,9.00,4.06,21.51,37.92,2.73,4.44,22.89,49.6,4.75,21.42,21.1,302,4,27.3,35.2,235.5,2034.7,484.9,1447.3,102.5,10100,10100,0,705.02,705.02,0.00,19.42,35264,19.08,24,25479,44921,5.2,74047,3000,91.1,64.5,45.2,NA,NA,7.23,74.9,9462,7.9,50.26115,24.69443,29.73596
Wisconsin,55,Midwest,EastNorthCentral,5813568,126286,2.220,8051,1.38,-1011,-0.17,4555837,106,23,9,11,26,14,17,39.4,81,6,7,1,3,10.7,19.3,7.3,1.1,1.8,9.12,3.83,30.81,25.23,2.17,6.96,18.54,16.9,4.60,17.09,15.4,290.3,2.9,29.1,88,170.4,2088.3,368.5,1547.6,172.3,64900,35600,0,1424.55,781.42,0.00,11.19,64878,11.33,14,32018,59209,3,321373,3224,97.3,72.8,66.9,46.1,59.4,6.3,79.6,8702,6.5,52.22900,20.50089,26.15264
Wyoming,56,West,Mountain,577737,13964,2.477,597,1.03,-3686,-6.38,445025,6,24,8,12,24,14,17,37.2,84,0,10,2,1,11.7,17.4,6.7,1.4,1.7,8.63,4.18,23.81,26.98,2.53,6.34,20.25,8.7,4.39,28.46,26.9,195.5,2.7,29.8,9.1,153.9,1964.7,289.1,1572.4,103.2,5500,3900,1,1235.89,876.36,0.26,229.24,132806,11.33,13,32295,62268,4.1,38037,3180,89.3,63.5,54.9,NA,NA,5.01,78,8320,12.5,52.80203,23.07692,27.17792