State,fipsCode,StateAbbrev,RobberyRate,SuicideRate,UnemployRate,GrossStateProduct,PerPoverty
Alabama,1,AL,96.9,15.9,4.1,211197,16.89
Alaska,2,AK, ,28.07,6.5,51479,11.11
Arizona,4,AZ,92.8,19.37,4.7,326446,14.86
Arkansas,5,AR,69.1,21.72, ,122704,16.40
California,6,CA,125.5,11.48,4.1,2797601,13.30
Colorado,8,CO,56.7,21.59,3.1,345233,10.29
Connecticut,9,CT,87.8,10.85,4.2,264510,9.59
Delaware,10,DE,135.6,12.86,4,72461,13.58
DC,11,DC,530.7,6.76,5.7,135768,16.64
Florida,12,FL,125.2,11.87,3.5,976386,14.05
Georgia,13,GA,123, ,3.7,563608,14.95
Hawaii,15,HI,78,16.22,2.2,88448,9.55
Idaho,16,ID,12.5,23.75,2.7,72294,12.83
Illinois,17,IL,118.8,12.48,4.1,822540,12.55
Indiana,18,IN,104.5,17.81,3.5,352273,13.48
Iowa,19,IA,33.6,16.33,2.5,183930,10.73
Kansas,20,KS,46.9,20.05,3.3,159108,11.90
Kentucky,21,KY,75.6,17.71, ,202175,17.24
Louisiana,22,LA, ,16.09,5,235960,19.75
Maine,23,ME,22.9,19.56,3.3,61703,11.07
Maryland,24,MD,159.7,10.63,4.2,399538,9.28
Massachusetts,25,MA,89.5,10.59,3.6,542979,10.45
Michigan,26,MI,80.9,15.26,4,508905,14.16
Minnesota,27,MN,67.6,14.52,2.8,350179,9.49
Mississippi,28,MS,81.2,14.08,4.8,109375,19.77
Missouri,29,MO,92.2,19.52,3.2,303763,13.42
Montana,30,MT,19.8,29.73,3.6,47079,12.47
Nebraska,31,NE,55.4,15.27, ,119588,10.77
Nevada,32,NV,209.7,18.98,4.5,158302,13.00
New Hampshire,33,NH,40.5,19.86,2.7,81650,7.70
New Jersey,34,NJ, ,9.53,4.2,602069,10.00
New Mexico,35,NM,100,24.31,4.6,94211,19.65
New York,36,NY,121.8,7.2,4.1,1606601,14.08
North Carolina,37,NC,84.6,15.38,3.8,540497,14.70
North Dakota,38,ND,23.4,20.51,2.7,52527,10.32
Ohio,39,OH,110,15.99,4.6,645747,13.97
Oklahoma,40,OK,78.6,20.01,3.5,188632,15.83
Oregon,41,OR, ,20.44,3.8,227155,13.24
Pennsylvania,42,PA,105.8,15.75,4.1,756269,12.49
Rhode Island,44,RI,50.1,12.91,3.9,59306,11.62
South Carolina,45,SC,82.7,17.02, ,221690,15.40
South Dakota,46,SD,23.4,23.99,3,49813,13.00
Tennessee,47,TN,110.9,17.01,3.6,349569,14.95
Texas,48,TX,115.7,14.27,3.8,1645136,14.73
Utah,49,UT,44.6,25.32,3.2,164917,9.72
Vermont,50,VT,11.2,19.55,2.9,32545,11.31
Virginia,51,VA,51.5,14.2,2.9,510586,10.64
Washington,53,WA,79.9, ,4.4,524323,11.03
West Virginia,54,WV,35.2,21.42,5.2,74047,19.08
Wisconsin,55,WI,88,17.09,3,321373,11.33
Wyoming,56,WY,9.1,28.46,4.1,38037,11.33