lfp,kids5,kids618,wage,wcoll,hcoll,faminc,wifewage
1,0,2,45,0,0,17.77,6.00
1,0,1,32,1,1,17.80,10.25
1,0,0,30,1,1,17.80,10.64
1,0,2,35,0,0,17.90,0.16
1,0,2,40,0,0,17.90,4.38
0,0,1,48,0,0,17.97,2.76
1,0,1,51,0,0,18.00,3.75
0,0,0,31,0,1,18.00,3.06
1,0,3,31,0,0,18.00,4.47
1,0,1,44,1,0,18.00,4.87
0,1,2,35,1,1,18.01,3.07
1,0,2,32,0,0,18.10,0.36
0,0,0,49,0,0,18.15,2.34
1,0,0,56,1,1,18.16,7.21
1,0,1,43,0,0,18.20,2.98
1,0,5,36,0,0,18.20,2.31
0,0,1,47,0,0,18.20,2.29
0,1,0,31,1,0,18.20,5.31
0,0,4,33,1,0,18.21,2.61
0,1,2,33,0,0,18.22,2.66
1,0,0,54,1,0,18.22,8.93
1,0,2,44,0,1,18.24,4.80
1,1,5,41,0,1,18.27,9.93
1,1,0,53,0,0,18.28,3.64
0,0,0,49,0,0,18.29,2.00
0,0,2,46,0,0,18.30,3.07
1,0,0,52,1,0,18.30,6.87
1,0,4,35,0,0,18.40,4.67
0,0,2,42,0,0,18.40,1.69
1,2,2,38,1,0,18.43,5.09
0,0,4,41,1,1,18.45,3.79
0,0,0,52,0,0,18.50,3.52
0,0,0,60,0,0,18.50,2.51
1,0,0,32,0,1,18.50,3.14
0,2,0,33,0,0,18.52,2.83
1,0,0,43,0,0,18.56,3.90
0,2,0,38,1,0,18.60,5.80
0,0,1,51,0,0,18.75,2.35
1,0,0,47,0,0,18.76,3.67
0,0,0,56,0,0,18.80,3.69
0,0,0,57,0,1,18.80,3.69
0,0,4,44,0,1,18.85,3.41
1,0,1,39,0,1,18.86,2.12
0,2,3,44,1,0,18.87,3.59
1,0,1,44,0,0,18.90,5.46
0,0,0,44,0,0,18.90,1.67
0,0,0,53,1,1,18.97,3.27
0,0,3,47,1,1,19.00,3.39
0,0,3,40,0,0,19.00,2.39
1,0,3,46,0,0,19.01,4.31
0,1,1,31,0,1,19.02,2.48
1,1,0,30,0,1,19.08,4.96
1,0,1,49,0,0,19.10,0.66
1,0,2,37,0,1,19.16,2.67
1,0,2,34,0,0,19.21,3.30
0,0,0,52,0,0,19.24,3.72
1,0,1,46,1,1,19.30,5.53
1,0,2,43,1,1,19.31,7.65
0,0,4,46,0,0,19.37,1.44
1,0,0,55,1,1,19.38,4.60
0,1,0,30,0,1,19.39,2.76
0,0,1,41,0,1,19.50,3.38
1,0,0,49,1,1,19.50,8.42
1,0,2,30,0,0,19.50,1.39
1,0,4,31,0,1,19.63,0.71
1,0,2,32,1,1,19.70,2.50
0,0,3,51,0,0,19.70,2.65
1,0,1,49,0,1,19.70,9.33
1,0,1,42,0,1,19.70,4.59
1,0,0,43,1,1,19.72,3.44
0,1,3,47,1,1,19.73,5.79
1,1,1,34,1,1,19.80,22.50
0,0,3,43,0,0,19.86,2.07
0,0,3,33,0,0,19.88,2.07
1,0,2,48,0,0,19.99,4.54
0,0,0,54,1,1,20.00,3.56
1,1,2,31,1,0,20.10,4.59
0,0,0,52,0,0,20.18,3.64
0,0,0,53,1,1,20.20,3.14
0,0,1,45,1,1,20.22,3.60
1,0,0,54,0,0,20.25,2.15
0,0,1,44,0,0,20.30,2.65
0,0,1,48,0,0,20.30,2.65
0,1,2,30,0,1,20.50,2.57
1,0,0,54,0,0,20.50,1.11
0,1,1,36,0,1,20.53,1.52
1,0,0,46,0,0,20.58,4.12
1,0,0,30,1,1,20.60,6.88
1,0,2,42,0,1,20.63,4.00
1,0,4,34,0,0,20.66,1.60
1,0,0,51,0,0,20.68,2.60
1,0,0,47,0,1,20.70,2.46
1,1,2,33,0,1,20.72,3.33
1,0,3,40,0,1,20.75,3.67
1,0,0,45,1,1,20.75,7.14
1,0,0,34,1,1,20.80,8.04
1,0,1,47,0,0,20.85,2.56
0,0,2,44,1,1,20.88,4.44
1,0,3,47,0,1,20.89,3.23
0,0,0,54,0,0,20.95,3.07
1,0,1,54,1,1,20.95,8.33
0,1,0,48,0,0,20.97,3.19
1,1,2,47,0,1,20.99,2.41
1,0,1,48,0,0,21.00,6.63
1,0,3,33,1,1,21.00,1.39
0,1,2,40,0,1,21.00,2.66
1,1,3,36,0,0,21.00,25.00
1,0,2,42,1,1,21.00,2.50
0,0,1,51,0,0,21.01,2.74
0,0,1,49,0,1,21.03,2.38
0,0,0,47,0,0,21.10,3.65
1,0,2,48,1,1,21.15,2.02
1,0,3,34,1,1,21.20,1.25
1,0,3,41,0,0,21.22,3.08
1,0,2,40,0,0,21.22,25.00
1,0,1,38,1,0,21.30,8.53
1,0,3,37,0,0,21.30,1.86
1,0,4,36,1,1,21.37,8.65
0,0,3,44,0,0,21.42,2.83
0,0,3,39,0,0,21.50,1.57
1,0,0,49,0,1,21.50,2.88
0,0,0,53,0,0,21.57,2.43
0,0,0,50,0,0,21.60,2.47
0,0,1,48,0,1,21.62,2.54
1,0,2,43,1,0,21.64,5.87
0,0,1,45,0,1,21.70,3.22
0,1,0,36,1,1,21.77,4.00
0,1,1,47,0,0,21.80,1.46
0,0,5,43,0,1,21.82,2.57
0,0,5,38,1,1,21.85,2.76
0,0,0,51,0,0,21.90,2.74
0,0,3,38,0,1,21.94,2.75
0,0,0,45,0,0,21.95,2.09
1,0,0,57,0,0,22.00,3.92
1,0,0,47,1,0,22.00,9.86
0,1,1,30,0,1,22.00,2.66
0,0,1,32,1,1,22.00,3.16
0,0,1,48,0,0,22.00,2.00
0,0,0,56,0,0,22.15,1.98
0,0,1,37,0,0,22.16,1.20
1,0,0,39,0,0,22.20,17.91
0,0,0,58,1,1,22.20,3.13
0,0,2,40,0,1,22.23,2.31
1,0,1,51,0,0,22.25,2.36
0,0,1,48,1,1,22.30,4.60
1,0,0,47,0,0,22.30,3.86
1,0,3,43,0,1,22.40,1.88
1,0,3,43,1,1,22.40,5.34
0,0,0,59,0,0,22.42,2.23
1,1,2,31,1,1,22.50,2.57
0,0,2,41,1,0,22.58,3.23
0,0,2,54,0,1,22.61,3.28
1,0,1,40,0,0,22.64,5.31
1,0,2,42,1,1,22.65,3.51
0,1,0,30,0,1,22.80,3.06
0,0,2,36,0,0,22.85,3.00
0,0,2,32,0,1,23.00,2.57
0,0,0,52,0,0,23.00,1.37
0,2,1,31,1,1,23.00,4.06
1,0,1,40,0,0,23.15,3.75
1,0,2,43,0,0,23.25,3.07
0,0,0,46,0,0,23.26,2.57
0,0,1,53,0,0,23.43,3.14
0,1,3,33,0,1,23.50,2.66
1,1,2,35,1,1,23.50,3.97
1,0,1,45,0,0,23.56,2.06
1,0,2,36,1,1,23.60,5.49
0,2,0,30,1,1,23.60,4.06
1,0,1,39,0,0,23.67,4.21
1,0,3,45,1,1,23.67,0.38
0,0,2,52,1,1,23.67,4.91
1,0,1,45,1,1,23.70,4.62
0,0,0,44,1,0,23.70,2.84
1,1,1,45,0,0,23.71,3.46
1,0,1,45,0,0,23.80,4.86
1,0,1,33,0,0,24.00,3.41
0,1,3,35,0,0,24.00,2.48
0,0,0,33,1,1,24.00,4.45
0,0,0,52,0,0,24.00,2.23
1,1,1,34,1,1,24.10,9.51
0,0,1,42,1,1,24.11,3.37
0,0,2,46,0,0,24.14,2.48
1,1,0,30,1,1,24.25,8.17
1,0,1,33,0,0,24.30,4.06
0,1,1,30,0,1,24.35,2.48
1,0,2,57,0,0,24.40,23.47
0,0,4,36,0,1,24.40,2.66
0,0,2,47,0,0,24.47,2.39
0,0,3,38,0,1,24.47,3.22
1,0,0,50,0,0,24.50,1.09
0,0,1,48,0,0,24.50,2.56
1,0,2,32,1,0,24.63,6.85
1,0,1,43,0,1,24.63,3.68
1,0,0,56,1,1,24.70,3.55
0,1,1,34,0,1,24.70,2.48
0,1,3,39,0,1,24.76,3.29
0,0,1,45,0,0,24.80,2.48
1,0,1,43,0,0,24.93,1.72
0,0,0,60,0,0,24.98,3.40
1,0,1,43,0,0,25.00,7.89
0,0,0,47,0,0,25.00,3.07
1,0,3,43,0,0,25.08,4.33
1,1,2,40,1,1,25.09,1.78
0,1,1,30,0,0,25.10,2.09
1,0,2,38,1,1,25.20,4.10
1,0,4,36,0,1,25.20,1.33
1,0,2,47,1,0,25.21,10.20
1,0,0,51,1,1,25.30,1.00
0,0,0,47,0,0,25.32,2.99
1,1,3,35,1,1,25.38,1.48
1,0,1,32,0,1,25.60,2.25
1,0,1,36,0,0,25.61,2.88
1,0,1,47,0,0,25.70,5.64
0,1,1,30,1,1,25.70,4.06
1,0,0,59,1,1,26.00,3.65
1,0,2,34,1,1,26.00,2.42
1,0,3,39,1,1,26.00,2.78
1,0,1,34,1,1,26.00,5.41
0,0,3,42,0,0,26.00,2.72
0,1,1,30,1,1,26.04,2.91
1,0,0,47,0,0,26.09,3.56
1,0,2,39,0,0,26.15,2.19
1,0,2,32,1,1,26.30,1.74
1,0,2,36,1,0,26.50,6.77
1,0,4,46,1,1,26.59,7.92
0,0,0,48,1,1,26.61,2.79
0,0,1,51,0,0,26.68,2.99
1,0,0,52,0,0,26.75,3.68
0,1,3,36,0,1,26.90,2.09
0,0,1,37,0,0,27.00,1.88
1,1,0,30,0,1,27.00,3.06
1,0,0,50,0,0,27.00,6.25
0,1,2,41,1,1,27.00,2.84
1,0,0,41,0,1,27.04,1.78
0,0,2,43,0,0,27.09,2.76
1,0,0,53,0,0,27.20,1.22
1,0,2,37,1,1,27.30,5.04
1,0,1,46,0,0,27.31,2.29
1,0,2,43,1,1,27.35,3.79
1,0,2,42,1,1,27.50,4.46
0,0,0,53,0,1,27.76,3.07
1,0,0,54,1,1,27.80,7.10
0,1,1,43,1,1,27.85,3.59
1,0,2,36,0,0,27.87,4.73
1,0,0,46,0,0,28.00,3.69
0,0,2,31,1,1,28.00,3.18
1,0,3,37,0,1,28.04,3.17
0,0,2,43,1,1,28.07,2.95
0,0,1,49,0,0,28.07,2.34
1,1,2,34,1,1,28.20,6.04
0,0,2,40,1,1,28.20,2.95
0,0,3,47,0,0,28.20,2.34
0,0,5,38,1,1,28.20,2.45
0,0,3,39,0,0,28.36,2.35
0,1,2,35,1,1,28.45,4.32
1,0,3,40,1,1,28.50,4.40
1,0,1,47,1,0,28.50,4.80
1,0,1,47,1,1,28.60,1.67
0,0,0,55,0,0,28.60,2.20
0,0,3,37,1,1,28.63,4.19
1,0,2,48,0,0,28.70,0.50
1,0,0,52,0,0,28.80,6.25
0,0,1,48,1,1,28.90,4.44
1,0,1,41,0,0,28.98,2.45
0,1,1,33,1,1,29.00,4.56
0,0,0,55,0,1,29.00,3.07
1,0,3,43,0,1,29.12,5.39
0,0,2,45,0,1,29.30,2.65
1,0,0,47,0,0,29.31,3.21
0,0,1,50,0,0,29.40,2.47
0,0,1,46,0,0,29.55,3.07
1,0,1,45,0,1,29.70,3.79
0,0,2,43,0,1,29.80,3.07
0,0,0,45,0,0,30.00,1.76
0,0,0,56,0,0,30.20,2.65
1,1,2,33,0,1,30.23,1.12
0,1,1,34,0,0,30.30,2.91
0,0,2,50,0,1,30.30,2.59
1,0,1,45,1,1,30.50,2.00
0,1,3,41,0,0,30.62,2.66
0,1,4,46,0,0,30.65,2.20
1,0,0,48,0,0,30.75,4.79
0,1,3,41,1,1,30.80,2.58
0,0,1,42,1,1,31.00,3.33
0,0,4,50,0,0,31.00,3.14
0,0,0,48,0,0,31.11,2.47
1,0,3,33,1,1,31.20,1.75
0,0,1,48,1,1,31.50,3.83
0,0,1,42,1,1,31.70,2.89
0,0,1,49,0,1,31.80,2.59
1,0,0,51,1,1,31.81,7.62
1,0,0,40,1,1,32.00,21.43
0,0,0,54,0,1,32.00,2.82
1,0,3,36,1,1,32.00,1.69
1,0,2,38,1,1,32.03,8.56
0,0,0,59,0,0,32.24,2.38
1,0,0,58,0,1,32.35,2.56
1,0,3,42,1,1,32.43,5.79
0,0,2,47,0,1,32.50,2.74
0,1,3,38,1,0,32.69,2.66
1,0,0,47,1,1,32.70,8.19
1,0,1,40,0,0,32.90,4.54
1,0,1,50,1,1,33.05,6.48
0,0,2,38,0,1,33.10,2.39
1,0,2,37,0,1,33.30,1.90
0,0,0,51,0,0,33.67,2.65
0,0,0,54,1,1,33.86,3.79
0,1,3,40,0,0,33.92,2.48
1,1,5,39,0,1,33.97,2.63
1,0,3,35,1,1,34.00,3.56
0,0,1,37,0,0,34.00,2.76
1,0,1,41,0,1,34.20,2.67
1,0,1,37,0,1,34.50,2.66
1,0,3,54,1,1,34.60,2.76
1,0,5,37,1,1,34.75,8.33
1,0,0,54,0,1,34.86,1.75
0,0,0,54,0,0,35.00,3.07
0,2,2,30,0,0,35.00,2.27
0,0,0,54,1,1,35.02,3.50
0,0,3,54,1,1,35.40,3.99
1,0,2,45,1,1,35.76,6.99
0,0,4,41,0,1,35.91,2.30
0,2,2,35,1,1,36.00,2.80
0,0,2,38,1,1,37.25,4.36
1,0,0,35,1,1,37.30,9.58
0,0,2,45,0,1,37.30,3.29
0,1,1,37,0,1,37.60,3.08
0,0,0,58,0,0,37.70,1.36
0,0,2,36,0,0,37.75,2.52
1,0,2,51,0,0,38.00,3.79
1,0,0,51,1,1,38.40,5.56
1,0,1,49,1,1,39.10,1.74
1,0,0,52,1,1,39.14,9.60
1,0,3,32,0,1,39.21,1.00
1,0,1,53,1,1,40.00,1.13
0,2,1,33,1,1,40.25,2.86
0,0,1,44,0,0,40.50,2.65
0,0,2,50,0,0,40.80,2.47
1,0,0,50,1,1,41.10,0.65
1,0,1,47,1,1,41.40,4.10
0,0,0,53,1,1,41.50,2.89
0,1,1,30,0,1,42.25,2.48
0,0,1,45,0,0,42.80,2.39
1,0,5,52,0,1,42.91,2.00
1,0,3,46,0,0,43.00,5.81
1,1,3,33,0,1,43.00,2.50
1,0,2,32,1,1,43.30,8.61
1,0,1,49,0,0,44.00,3.00
1,0,0,46,1,1,44.00,4.56
0,1,3,51,0,0,44.99,1.23
0,1,2,31,1,1,45.25,3.50
1,0,1,46,1,1,45.75,5.25
1,0,0,47,1,1,46.00,3.96
1,0,0,47,0,1,46.65,3.33
0,1,3,32,0,1,47.50,2.57
0,0,3,36,1,1,48.30,4.19
0,1,1,32,1,1,50.30,3.16
0,0,2,41,1,1,51.00,3.51
0,3,0,31,1,1,51.20,3.65
1,0,1,44,1,1,51.30,15.38
1,0,1,45,1,0,52.50,4.02
1,0,0,49,0,1,53.50,4.90
0,0,0,60,1,1,55.60,3.48
0,0,0,47,1,1,56.10,3.50
0,0,0,57,1,1,57.00,4.56
1,0,1,48,0,0,59.00,3.83
0,0,0,50,1,1,63.20,5.65
0,0,1,41,0,1,63.50,3.07
0,0,2,52,0,0,68.04,1.44
1,0,1,48,1,1,70.75,5.23
0,3,1,31,1,1,73.60,2.61
0,0,3,41,0,1,77.00,2.91
1,0,0,41,1,1,79.80,7.02
0,0,2,45,0,0,88.00,2.91
1,1,3,38,1,1,91.00,3.67
0,1,2,34,1,1,96.00,3.90